vehicle_id_typeNS;cum_wait_s
down_105;0
down_114;0
down_121;32
down_128;6
down_138;39
down_140;35
down_142;33
down_147;20
down_156;0
down_157;0
down_158;0
down_161;30
down_165;0
down_168;0
down_18;27
down_181;31
down_183;17
down_19;22
down_190;0
down_197;0
down_199;41
down_203;23
down_216;0
down_227;0
down_236;44
down_24;0
down_256;0
down_260;0
down_276;0
down_282;0
down_286;31
down_289;18
down_292;9
down_298;0
down_307;24
down_318;0
down_323;0
down_324;0
down_329;35
down_332;4
down_338;0
down_341;0
down_343;0
down_345;42
down_346;39
down_348;34
down_353;0
down_357;0
down_384;0
down_388;43
down_39;35
down_397;0
down_406;0
down_407;38
down_413;21
down_435;28
down_436;22
down_458;0
down_469;26
down_471;22
down_473;20
down_482;0
down_484;0
down_494;0
down_504;44
down_515;6
down_517;0
down_519;0
down_523;0
down_536;8
down_540;0
down_543;0
down_562;0
down_567;40
down_574;0
down_588;32
down_597;0
down_599;0
down_61;0
down_615;0
down_620;38
down_623;32
down_628;26
down_629;23
down_63;0
down_64;0
down_640;0
down_651;26
down_657;0
down_658;0
down_662;0
down_672;20
down_675;4
down_676;0
down_68;42
down_682;0
down_684;0
down_691;12
down_697;0
down_72;12
down_73;7
down_733;33
down_741;0
down_755;10
down_767;27
down_80;0
down_86;20
down_88;15
down_89;13
;
Durchschnitt_Wartezeit_typeWO;12,67
